,zip,Latitude,Longitude,Mapped Location,geometry,latlong,Date,Is Violation,Cluster Name,Facility Type,# Cases,Is Cluster
7847,37203.0,36.153164561602715,-86.79054329325409,"(36.15316456160271, -86.79054329325409)",POINT (-86.79054329325409 36.15316456160271),"[36.153164561602715, -86.79054329325409]",2020-08-04,1.0,0,0,0.0,0.0
8086,37203.0,36.1530467,-86.7905272,"(36.1530467, -86.7905272)",POINT (-86.7905272 36.1530467),"[36.1530467, -86.7905272]",2020-08-04,1.0,0,0,0.0,0.0
9161,37203.0,36.167322085180025,-86.79128307849169,"(36.16732208518002, -86.79128307849169)",POINT (-86.79128307849169 36.16732208518003),"[36.167322085180025, -86.79128307849169]",2020-04-22,1.0,0,0,0.0,0.0
10064,37203.0,36.149571400000006,-86.79682170000001,"(36.14957140000001, -86.7968217)",POINT (-86.79682170000001 36.14957140000001),"[36.149571400000006, -86.79682170000001]",2020-06-17,1.0,0,0,0.0,0.0
10102,37203.0,36.14959169999999,-86.79686550000001,"(36.14959169999999, -86.7968655)",POINT (-86.79686550000001 36.14959169999999),"[36.14959169999999, -86.79686550000001]",2020-07-24,1.0,0,0,0.0,0.0
10496,37203.0,36.1495481164632,-86.80521831751328,"(36.149548116463194, -86.80521831751328)",POINT (-86.80521831751328 36.1495481164632),"[36.1495481164632, -86.80521831751328]",2020-06-27,1.0,0,0,0.0,0.0
10827,37203.0,36.15939126160535,-86.79058960674591,"(36.15939126160535, -86.7905896067459)",POINT (-86.79058960674591 36.15939126160535),"[36.15939126160535, -86.79058960674591]",2020-04-06,1.0,0,0,0.0,0.0
11534,37203.0,36.1577,-86.79271,"(36.1577, -86.79271)",POINT (-86.79271 36.1577),"[36.1577, -86.79271]",2020-06-29,1.0,0,0,0.0,0.0
11758,37203.0,36.146705004638406,-86.80785896087612,"(36.146705004638406, -86.80785896087613)",POINT (-86.80785896087612 36.14670500463841),"[36.146705004638406, -86.80785896087612]",2020-04-06,1.0,0,0,0.0,0.0
11886,37203.0,36.1530467,-86.7905272,"(36.1530467, -86.7905272)",POINT (-86.7905272 36.1530467),"[36.1530467, -86.7905272]",2020-08-05,1.0,0,0,0.0,0.0
11952,37203.0,36.15358,-86.8069,"(36.15358, -86.8069)",POINT (-86.8069 36.15358),"[36.15358, -86.8069]",2020-04-06,1.0,0,0,0.0,0.0
12113,37203.0,36.1529419,-86.7985137,"(36.1529419, -86.7985137)",POINT (-86.7985137 36.1529419),"[36.1529419, -86.7985137]",2020-04-06,1.0,0,0,0.0,0.0
12467,37203.0,36.160377541728906,-86.77818484604359,"(36.160377541728906, -86.77818484604359)",POINT (-86.77818484604359 36.16037754172891),"[36.160377541728906, -86.77818484604359]",2020-06-17,1.0,0,0,0.0,0.0
12903,37203.0,36.146955,-86.81447999999997,"(36.146955, -86.81447999999999)",POINT (-86.81447999999997 36.146955),"[36.146955, -86.81447999999997]",2020-04-10,1.0,0,0,0.0,0.0
13153,37203.0,36.146956,-86.8083746,"(36.146956, -86.8083746)",POINT (-86.80837459999999 36.146956),"[36.146956, -86.8083746]",2020-04-28,1.0,0,0,0.0,0.0
13297,37203.0,36.15686711160429,-86.80553480674591,"(36.156867111604285, -86.8055348067459)",POINT (-86.80553480674591 36.15686711160429),"[36.15686711160429, -86.80553480674591]",2020-04-10,1.0,0,0,0.0,0.0
13320,37203.0,36.15009885530856,-86.78931482990133,"(36.150098855308556, -86.78931482990133)",POINT (-86.78931482990133 36.15009885530856),"[36.15009885530856, -86.78931482990133]",2020-04-10,1.0,0,0,0.0,0.0
13492,37203.0,36.1535143,-86.78643699999998,"(36.1535143, -86.78643699999999)",POINT (-86.78643699999998 36.1535143),"[36.1535143, -86.78643699999998]",2020-04-10,1.0,0,0,0.0,0.0
13513,37203.0,36.15420820000001,-86.7994824,"(36.15420820000001, -86.7994824)",POINT (-86.7994824 36.15420820000001),"[36.15420820000001, -86.7994824]",2020-08-05,1.0,0,0,0.0,0.0
13629,37203.0,36.15294,-86.79851,"(36.15294, -86.79851)",POINT (-86.79850999999999 36.15294),"[36.15294, -86.79851]",2020-04-06,1.0,0,0,0.0,0.0
13752,37203.0,36.13645101159562,-86.78906424999998,"(36.13645101159562, -86.78906424999998)",POINT (-86.78906424999998 36.13645101159562),"[36.13645101159562, -86.78906424999998]",2020-08-16,1.0,0,0,0.0,0.0
14263,37203.0,36.154720899999994,-86.7843963,"(36.1547209, -86.7843963)",POINT (-86.7843963 36.15472089999999),"[36.154720899999994, -86.7843963]",2020-07-04,1.0,0,0,0.0,0.0
14766,37203.0,36.1535143,-86.78643699999998,"(36.1535143, -86.78643699999999)",POINT (-86.78643699999998 36.1535143),"[36.1535143, -86.78643699999998]",2020-04-11,1.0,0,0,0.0,0.0
15087,37203.0,36.1535143,-86.78643699999998,"(36.1535143, -86.78643699999999)",POINT (-86.78643699999998 36.1535143),"[36.1535143, -86.78643699999998]",2020-04-11,1.0,0,0,0.0,0.0
15528,37203.0,36.1535143,-86.78643699999998,"(36.1535143, -86.78643699999999)",POINT (-86.78643699999998 36.1535143),"[36.1535143, -86.78643699999998]",2020-04-11,1.0,0,0,0.0,0.0
15575,37203.0,36.157540000000004,-86.79424,"(36.15754, -86.79424)",POINT (-86.79424 36.15754),"[36.157540000000004, -86.79424]",2020-04-17,1.0,0,0,0.0,0.0
15631,37203.0,36.152112750945115,-86.78125010803343,"(36.15211275094512, -86.78125010803342)",POINT (-86.78125010803343 36.15211275094511),"[36.152112750945115, -86.78125010803343]",2020-04-11,1.0,0,0,0.0,0.0
15785,37203.0,36.1535143,-86.78643699999998,"(36.1535143, -86.78643699999999)",POINT (-86.78643699999998 36.1535143),"[36.1535143, -86.78643699999998]",2020-04-11,1.0,0,0,0.0,0.0
15854,37203.0,36.1551701,-86.80339920000002,"(36.1551701, -86.80339920000002)",POINT (-86.80339920000002 36.1551701),"[36.1551701, -86.80339920000002]",2020-04-06,1.0,0,0,0.0,0.0
15891,37203.0,36.1461777,-86.8089392,"(36.1461777, -86.8089392)",POINT (-86.8089392 36.1461777),"[36.1461777, -86.8089392]",2020-05-14,1.0,0,0,0.0,0.0
16200,37203.0,36.1535143,-86.78643699999998,"(36.1535143, -86.78643699999999)",POINT (-86.78643699999998 36.1535143),"[36.1535143, -86.78643699999998]",2020-04-11,1.0,0,0,0.0,0.0
16246,37203.0,36.16390971160728,-86.78504620674592,"(36.16390971160728, -86.7850462067459)",POINT (-86.78504620674592 36.16390971160728),"[36.16390971160728, -86.78504620674592]",2020-04-06,1.0,0,0,0.0,0.0
16332,37203.0,36.15398907828021,-86.79501931272652,"(36.153989078280205, -86.79501931272652)",POINT (-86.79501931272652 36.15398907828021),"[36.15398907828021, -86.79501931272652]",2020-06-27,1.0,0,0,0.0,0.0
